category,subcategory,count
Magazines,Travel & Experiences Maagazines,4
Magazines,Arts & Built Environment,4
Specials,Freebie,4
Books,Science & Technology Books,4
Toys & Games,Learning & Education Toys,4
Books,Subject Reference & Learning Books,4
Personal Care,Bath & Body Kits,4
Ice Cream & Frozen Desserts,"Sandwiches, Cakes, and Other",4
Sweet Tooth,Chocolate Syrup,4
Organic & Gourmet,Healthy Proteins,4
Organic & Gourmet,Organic Salt,4
Toys & Games,Cube Games,4
Toys & Games,Games for Adults,4
Books,"Health, Fitness & Nutrition Books",4
Toys & Games,"Writing Pad Toys, Laptop Toys & Tablet Toys",4
Cold Drinks & Juices,Coldpress,4
Fashion and Accessories,Medicinal Scrubs & Aprons,3
Magazines,Automobile Magazines,3
Home Furnishing & Decor,Gift Card,3
Home Furnishing & Decor,Travel Cards,3
Books,Political Books,3
Beauty & Cosmetics,Concealer,3
Books,Analysis & Strategy Books,3
Grocery,Masala & Spices,3
Organic & Gourmet,Rice & Rice Products,3
Books,Horror Books,3
Toys & Games,Slime,3
Cold Drinks & Juices,100% Juice,3
Cold Drinks & Juices,Ice Cubes,3
Organic & Premium,"Dry Fruits, Nuts & Seeds",2
Cold Drinks & Juices,Flavored Milk,2
Baby Care,Diapers & Wipes,2
"Tea, Coffee & Health Drinks",Instant Coffee,2
Books,Short Stories Books,2
Books,History Books,2
Sweet Tooth,Cakes and Rolls,2
Beauty & Cosmetics,Foundation,2
Packaged Food,Snacks & Farsans,2
Toys & Games,Clay & Dough,2
Home Furnishing & Decor,Door Mats & Carpets,2
Packaged Food,Biscuits & Cookies,2
Grocery,Flours & Grains,2
Organic & Premium,Flour,1
Organic & Premium,Pulses & Millets,1
Home & Kitchen,Freshener & Repellents,1
Beauty & Cosmetics,Compact,1
Books,Manga & Graphic Novels,1
Beauty & Cosmetics,Lip Primer,1
Toys & Games,Teddy Bears,1
Sweet Tooth,Flavoured Yogurts,1
Home & Kitchen,Tissue Paper & Napkins,1
"Tea, Coffee & Health Drinks",Tea & Coffee Add-Ons,1
Vegetables & Fruits,Organic & Hydroponic,1
Personal Care & Beauty,Oral Care,1
Bakery & Biscuits,Milk & White Breads,1
Books,Science Fiction Books,1
Magazines,Hobby Magazines,1
Stationery,Notebooks / Diaries & More,1
Personal Care & Beauty,Health & Wellness,1
Grocery,Rice & Rice Products,1
Personal Care & Beauty,Skin Care,1
Kitchen & Dining,Kitchen Tools & Accessories,1
"Tea, Coffee & Health Drinks",Filter Coffee,1
Grocery,Dry Fruits,1
Seasonal & More,Beauty & Personal Care,1
Dairy & Beverages,Beverages,1
Personal Care & Beauty,Bath & Body,1
Grocery,Pulses,1
Vegetables & Fruits,Combo Offer,1
Sweet Tooth,Wafer Chocolates,1
Fruits & Vegetables,Fruits & Vegetables,1
Vegetables & Fruits,Combo & Recipes,1
Bakery & Biscuits,Brown & Multigrain Breads,1
